Place,Day,Date,Open,Symbol
BSE,1,2024-01-01,100,ABC
BSE,2,2024-01-02,102,ABC
BSE,3,2024-01-03,104,ABC
BSE,4,2024-01-04,103,ABC
BSE,5,2024-01-05,106,ABC
BSE,6,2024-01-06,108,ABC
BSE,7,2024-01-07,110,ABC
BSE,8,2024-01-08,111,ABC
BSE,9,2024-01-09,113,ABC
BSE,10,2024-01-10,115,ABC

BSE,1,2024-01-01,150,DEF
BSE,2,2024-01-02,151,DEF
BSE,3,2024-01-03,153,DEF
BSE,4,2024-01-04,155,DEF
BSE,5,2024-01-05,156,DEF
BSE,6,2024-01-06,158,DEF
BSE,7,2024-01-07,160,DEF
BSE,8,2024-01-08,162,DEF
BSE,9,2024-01-09,163,DEF
BSE,10,2024-01-10,165,DEF

NSE,1,2024-01-01,200,XYZ
NSE,2,2024-01-02,202,XYZ
NSE,3,2024-01-03,205,XYZ
NSE,4,2024-01-04,207,XYZ
NSE,5,2024-01-05,210,XYZ
NSE,6,2024-01-06,212,XYZ
NSE,7,2024-01-07,214,XYZ
NSE,8,2024-01-08,216,XYZ
NSE,9,2024-01-09,218,XYZ
NSE,10,2024-01-10,220,XYZ

NSE,1,2024-01-01,250,LMN
NSE,2,2024-01-02,252,LMN
NSE,3,2024-01-03,254,LMN
NSE,4,2024-01-04,255,LMN
NSE,5,2024-01-05,257,LMN
NSE,6,2024-01-06,259,LMN
NSE,7,2024-01-07,260,LMN
NSE,8,2024-01-08,262,LMN
NSE,9,2024-01-09,264,LMN
NSE,10,2024-01-10,266,LMN
